Key,Description,Standard,EN,JP,SP,RS,FR,GR
SAY.Standard.1033.王亚茹,,아무도 없을 테니 수영하러 갈까!,Why not go for a swim when no one is around?,じゃなかった人に泳いでちょっと総長に行きましょう!,,,,
SAY.Standard.944.王亚茹,,（아… 숙제!）,(Alas...  Homework again! ),（ま…宿題を!）,,,,
SAY.Standard.946.王亚茹,,（물리 선생님 수업이 하나도 이해가 안 됐어. 다행히 노트를 빌렸지만!）,"(I didn't follow anything my physics teacher said in class. Fortunately, I borrowed someone's notes. )",（今日物理の先生のことを少しも理解せず、元気とクラスメートのノートを借りた!）,,,,
SAY.Standard.945.王亚茹,,{vpunch=30}잠깐만! 안 돼!,{vpunch=30} Wait...No way!,{vpunch=30}あら!まさか!,,,,
SAY.Standard.949.王亚茹,,（학교에 두고 왔네…）,(I left them in school! ),（なんとてきた!。。）,,,,
SAY.Standard.948.王亚茹,,（오늘 대체 왜 이러지! 정신이 왜 이래?）,(What's wrong with me today!  Am I sleepwalking? ),（今日はどうしたね!头が壊れたの?）,,,,
SAY.Standard.950.王亚茹,,（노트가 없으면 숙제 어떻게 하지?）,( I can't do the assignment without those notes ? ),この宿題どう（ ?）,,,,
SAY.Standard.952.王亚茹,,（학교 가서 가져올까? 집에서 멀지는 않으니.）,(Well.. I can go back to school to pick them up?  I live close anyway. ),（学校へ持って行きますか?どうせ私の家から遠くない。）,,,,
MENU.Standard.953,,가져오자! 첫 학기부터 낙제 과목이 나오는 건 싫어.,"Hmmm, well, I don't want to fail physics in the first semester. ",取りに行こう!1学期で落第したくない。,,,,
MENU.Standard.954,,잊어 버려! 일진이 사나우니 잠이나 자자!,Forget it! Today's not my day! Going to bed is only thing matters now.,やめて!今日はうまくいかない!何もしないで寝なさい!,,,,
SAY.Standard.967.王亚茹,,（저게 뭐지?）,(What's that? ),（それは何ですか?）,,,,
SAY.Standard.2765.王亚茹,,（이 시간에 학생은 없을 텐데.）,( There shouldn't be any students around at this time. ),（この時間に学生はいないだろう）,,,,
SAY.Standard.975.王亚茹,,（뭐야.）,(What the ?),（なによ，）,,,,
SAY.Standard.977.王亚茹,,（눈이 잘못된 건가?）,(Something wrong with my eyes? ),（見間違えた?）,,,,
SAY.Standard.1037.王亚茹,,（관둬! 노트나 가지고 오자.）,"(Shit, forget it!  Just get your notebook, Yaru.  )",（まぁいい!早くノートを取りに行きましょう。）,,,,
SAY.Standard.981.王亚茹,,"（좋아, 찾았어!）","(Ok,got it! )",（よかった、もらった!）,,,,
SAY.Standard.982.王亚茹,,（물리 진도 따라가기가 벌써 벅찬데…）,"(I'm already way behind on physics, must not...  )",（物理はもうずいぶん落ちた，できない…）,,,,
SAY.Standard.991.王亚茹,,{vpunch=30}이런! 깜짝이야!,{vpunch=30} Holy shit!  What was that.,{vpunch=30}おや!びっくりした!,,,,
SAY.Standard.993.王亚茹,,대체 뭐야!,A lean tall shadow...,何だ!,,,,
SAY.Standard.992.王亚茹,,어디를 가리키는 거지…?,He is pointing at..,彼の指す方向は?…,,,,
SAY.Standard.995.王亚茹,,수영장인가!,The swimming pool? !,プール?!,,,,
SAY.Standard.1000.王亚茹,,내가 대체 뭘 본 거야!{vpunch=30},"Come on, what the hell was that?   {vpunch=30}",俺は何を頼りにするんだ! !{vpunch=30},,,,
SAY.Standard.1002.王亚茹,,（쌀쌀해진다! 집에 가야겠어!）,(It's getting cold...I need to go home! ),（寒い!、私は早く家へ帰りましょう!）,,,,
SAY.Standard.2601.王亚茹,,（집에 왔다. 추운걸!）,(Finally home. I'm still cold!),（算家に着いて、寒い!）,,,,
SAY.Standard.2602.王亚茹,,（여름에 식은땀이 나다니.）,"(Ironically, I'm freezing in summer.)",（大夏は冷や汗をかいたという。）,,,,
SAY.Standard.2603.王亚茹,,（상처는 다행히 얕은 것 같아. 좀 쉬어야겠다.）,(Fortunately the wound isn't deep? I'll wrap it and get to bed. ),（よかった傷が浅い、処理で早く休みましょう。）,,,,
SAY.Standard.1017.王亚茹,,（공부할 기분이 안 들어.）,(I'm not in the mood of studying..),（今は少しも学習意欲がなくなった，）,,,,
SAY.Standard.1020.王亚茹,,（머리는 어지럽고 식은땀이 나…）,(My head is buzzing and my body is trembling...),（頭ががんがん鳴って、冷や汗が出た…）,,,,
SAY.Standard.1019.王亚茹,,（온수로 샤워해야겠다!）,(I need a hot shower!),（私はお風呂に寝ましょう!）,,,,
SAY.Standard.4411.王亚茹,,（온수로 씻었어.）,"(Weird, why am I still cold, )",,,,,
SAY.Standard.4413.王亚茹,,（왜 그래도 춥지?）,(after a hot shower?),,,,,
SAY.Standard.4412.王亚茹,,（그냥 일찍 잠이나 자자.）,"(Forget it, I shall  go to bed early.)",,,,,
SAY.Standard.1051.王亚茹,,여긴 학교 복도인가?,Is this the hallway in my school?,これは学校の廊下ですか?,,,,
SAY.Standard.1052.王亚茹,,조명이 이상해. 난 왜 여기 있지.,Lights are weird... What am I doing here?,明かりもない…私はここで何を?,,,,
SAY.Standard.1054.王亚茹,,아? 저건?!,Ah? is that! ?,え?それは!?,,,,
SAY.Standard.2900.王亚茹,,이봐? 기다려…,Hey? wait!..,おや!待って……,,,,
SAY.Standard.2901.王亚茹,,（어디서 본 것 같은데?）,(I think I've seen it before ),（私がどこかで会ったの?）,,,,
SAY.Standard.2902.王亚茹,,"（맞아, 전에 노트 가지러 왔을 때 봤어!）","(Right! I remember, I saw it when I fetched the notebook! )",（ああ、さっき学校に来たとき、外で见た!）,,,,
SAY.Standard.2904.王亚茹,,"（아, 나 지금 따라가고 있는 건가?）",(Why am I following it? ),（えっ?私がなぜそれについて?）,,,,
SAY.Standard.1078.王亚茹,,（여긴 수영장.）,(This is the swimming pool..),（プールだよ、これ。）,,,,
SAY.Standard.1080.王亚茹,,（좋아! 오후에 하지 못한 연습을 할 수 있겠다.）,"(Cool,  I can do my training now. )",（に対するた!私の练习をすることは、午後の補候補である。）,,,,
SAY.Standard.1079.王亚茹,,（아? 저 그림자는… 뭐지?）,(Ah! That shadow. It's...  ),（え?影はさっきのあの、それは一体…はどうだったのだろうか。）,,,,
SAY.Standard.1077.王亚茹,,키가 너무 커! 사람인가?,It's so tall! Is that a person or ?,いい高!これは人の?,,,,
SAY.Standard.5725.恶鬼,,"이번 대회, 하하.",This competition! Haha.,,,,,
SAY.Standard.5727.恶鬼,,너는 질 거다!,You will be beaten!,,,,,
SAY.Standard.1102.王亚茹,,여긴 학교 복도인가?,Is this the hallway in my school?,これは学校の廊下?,,,,
SAY.Standard.1103.王亚茹,,조명이 이상해. 난 왜 여기 있지.,Lights are weird... What am I doing here?,明かりもない…私はここで何を?,,,,
SAY.Standard.1104.王亚茹,,아? 뭐지?,Ah? What is that?,え?あれは誰ですか?,,,,
SAY.Standard.2906.王亚茹,,고양이인가?,A cat?,猫ですか?,,,,
SAY.Standard.2907.王亚茹,,어이…,Meow...,おい……,,,,
SAY.Standard.2908.王亚茹,,（잠깐! 수영장은 고양이에게 위험해!）,"(Wait!  There is the pool, too much water! The kitten shouldn't go there! )",（待って!中に水をたくさん落ちない子猫、溺死!）,,,,
SAY.Standard.2910.王亚茹,,"（아, 나 지금 따라가고 있는 건가?）","(Am I walking? Yes, I'm following it. )",（えっ?私がなぜそれについて?）,,,,
SAY.Standard.1127.王亚茹,,야옹아?,"Here kitty, kitty,  ",メイ?,,,,
SAY.Standard.1204.王亚茹,,야옹아?,Come kitty.,メイ?,,,,
SAY.Standard.5704.恶鬼,,"이번 대회, 하하.",This competition! Haha.,,,,,
SAY.Standard.5706.恶鬼,,너는 질 거다!,You will loss!,,,,,
SAY.Standard.1150.王亚茹,,여긴 학교 복도인가?,Is this the hallway in my school?,これは学校の廊下?,,,,
SAY.Standard.1151.王亚茹,,조명이 어두워… 난 여기서 뭘 하는 거지?,Lights are weird... What am I doing here?,明かりもない…私はここで何を?,,,,
SAY.Standard.1153.王亚茹,,아? 뭐지?,Who is that? Looks like a girl.,え?あれは誰ですか?,,,,
SAY.Standard.1158.王亚茹,,이봐? 기다려…,Hey? wait!..,おや!待って……,,,,
SAY.Standard.1192.王亚茹,,"（모르겠어, 내가 왜 따라가는 거지?）",(What! Why am I following her? ),（か分からない、なぜ、私とてしまった/ t {},,,,
SAY.Standard.1175.王亚茹,,（여긴 수영장.）,(This is the pool..),（プールだよ、これ。）,,,,
SAY.Standard.1176.王亚茹,,（좋아! 오후에 하지 못한 연습을 할 수 있겠다.）,"(Cool,  I can do my training now. )",（に対するた!私の练习をすることは、午後の補候補である。）,,,,
SAY.Standard.1178.王亚茹,,아? 사람이 있잖아!,{vpunch=30}  Ah!  Someone is here already!,{vpunch=30}え?という!,,,,
SAY.Standard.1194.王亚茹,,그 여자애야.,That's the girl from the corner!,さっきの女性,,,,
SAY.Standard.1195.王亚茹,,여기서 뭘 하는 거지?,What is she doing here?,彼女は何をしているの?,,,,
SAY.Standard.1196.王亚茹,,이봐?,Hello?,おい、クラスメート、,,,,
SAY.Standard.1199.王亚茹,,늦은 시각에 수영하려고?,"Hi, are you going to swim? ",こんなに遅くは泳ぎに来たの?,,,,
SAY.Standard.1198.王亚茹,,옷은 왜 안 갈아입었어?,Are you going to change your clothes?,あなたは着替えないの?,,,,
SAY.Standard.1197.王亚茹,,"이봐, 이봐.","Hey, can you hear me?",同窓の学友、,,,,
SAY.Standard.2942.恶鬼,,"이번 대회에서, 하하.",This competition! Hahaha.,今回の試合は、ヘイヘイ,,,,
SAY.Standard.2943.恶鬼,,너는 질 거다!,You will be beaten!,お前の負けだ!,,,,
SAY.Standard.1859.王亚茹,,으으… 후…,Ah...  Yuck!,え……ハァ……,,,,
SAY.Standard.1224.王亚茹,,{vpunch=30}끔찍한 악몽이었어!,{vpunch=30} What a nightmare!,{vpunch=30}人でなしの悪夢を!,,,,
SAY.Standard.1860.王亚茹,,좋지 않아!,I've been lazy!,だめだよ、,,,,
SAY.Standard.3151.王亚茹,,내일은 꼭 수영 연습을 해야 해!,I really need to practice my swim tomorrow!,明日は必ず行くプールの练习!,,,,
SAY.Standard.1984.王亚茹,,후… 또 악몽이야.,"God, no..  Another nightmare? ",…ハァ…また悪夢、,,,,
SAY.Standard.1985.王亚茹,,"아냐, 이렇게 망가질 순 없어.{vpunch=30}",No! I can't let this go the wrong way. {vpunch=30},だめ、このままではいけないんだ、{vpunch=30},,,,
SAY.Standard.1986.王亚茹,,힘을 내자!,I must pull myself together!,私ががんばれ!,,,,
SAY.Standard.1995.王亚茹,,으으… 후…,Er... Yuck!,え……ハァ……,,,,
SAY.Standard.1996.王亚茹,,{vpunch=30}세상에! 내가 어떻게 된 거지?,{vpunch=30} Jesus!  What the hell is wrong with me! ?,{vpunch=30}日呐!私はどうした!?,,,,
SAY.Standard.1583.恶鬼,,그럼 안녕!,Bye bye!,バイバイダロ!,,,,
SAY.Standard.1584.恶鬼,,"천천히 하라고, 헤헤.",Take your time here? heh heh heh.,ここで明かしましょう、ゆっくりウフフ。,,,,
SAY.Standard.1582.王亚茹,,（흠… 일단 이 분노는 좀 가라앉히자!）,(Hum...  Forget it.. don't waste your anger on that worm! ),（フ…まあ、のらりくらりとこの人質の人気!）,,,,
SAY.Standard.1585.王亚茹,,"（가만, 이제 수영장은 내 것이잖아. 얼마든 쓸 수 있어!）",(Ahah! now the pool is mine? I can do whatever I want!),（あ、あ、もう池は私の、どう游たいが、）,,,,
SAY.Standard.1586.王亚茹,,（좋잖아! 몰래 들어올 필요도 없고.）,(Great!  No more sneaking in. ),（よかった!もはや不用こそこそと入ってきたよ。）,,,,
SAY.Standard.1589.王亚茹,,（하지만…）,(but...   ),（でも…）,,,,
SAY.Standard.1591.王亚茹,,（언젠가는 지루해지겠지.）,"(What if , I get bored one day. )",（もしある日、私は饱きた。）,,,,
SAY.Standard.1590.王亚茹,,（그럼 나도 무고한 피해자를 찾아야 할까?）,(Should I drag an innocent person down as he did to me? ),（も罪のない犠牲を探しに行くのか?）,,,,
MENU.Standard.1592,,그럴 수도! 운 나쁜 사람이 걸리는 거야.,Maybe! Just see who will be that unlucky dog.,可能!その時に誰がついてたを见ます。,,,,
MENU.Standard.1593,,아니! 내가 물이 지루해질 리 없어!,Of course not! I'll never be tired of water!,してないだろう!水はいつまでも饱きないですね!,,,,
SAY.Standard.3495.,,몇 년 후…,Years later...,2年以降…,,,,
SAY.Standard.1664.王芳,,이해가 안 돼.,"Well, I don't understand,",おや、あなたは言った。,,,,
SAY.Standard.1665.王芳,,왜 9시 이후에는 수영장을 못 쓰지?,Why can't we use the swimming pool after 9 PM?,水泳プールは夜9時以降のないのはなぜですか。,,,,
SAY.Standard.1666.孙燕,,어머! 너 몰랐니?,Oh! You didn't know ?,おやおや!あなたは知らないよ、,,,,
SAY.Standard.1667.孙燕,,우리 학교 수영장은 저주받았어.,The swimming pool in our school is cursed.,わたし学校のプールと呼ばれる夜魔館のだろう!,,,,
SAY.Standard.1668.王芳,,무슨 뜻이야?,What does that mean?,それはどういう意味ですか?,,,,
SAY.Standard.1669.孙燕,,9시가 지나면 이상한 일이 일어난대.,"After 9 pm, things go wrong. ",夜は何か、,,,,
SAY.Standard.1670.孙燕,,분명히 문은 잠가 두잖아.,"And you know what,  the door is locked up for sure.",そもそもも怪くせにも鍵がかかって、,,,,
SAY.Standard.1671.孙燕,,근데 누가 어떻게든 들어가서 익사한대.,"But someone always manages to get inside and drown,",老ということは知らないように死んで、,,,,
SAY.Standard.1672.孙燕,,매년 말이야!,Every damn year!,毎年!,,,,
SAY.Standard.1673.王芳,,세상에! 우리 수영 시간에 거기서 수영하잖아. 선생님은 아무 말도 안 했어…,Good Lord! We are still swimming in that pool on swimming lessons. The teacher didn't say anything.,まさか。我々の水泳の授业はあの池の中を泳いでね!先生は…,,,,
SAY.Standard.1674.孙燕,,"맞아, 선생님은 사람을 죽인 수영장에서 맘껏 놀라고 말할걸!","Yeah, like the teacher would say, go and have fun, in the pool that kills people!",先生がこの池と死を振り切れ、君たち泳ぎましょう!?,,,,
SAY.Standard.1684.孙燕,,아무 일도 없었던 척할 수밖에 없어.,The only way is to pretend nothing happened.,きっと大丈夫よ、とはデマよ!,,,,
SAY.Standard.4098.王芳,,수영장에서 사람이 죽었다니… 난 다시는 수영 시간 들어가기 싫어!,"So, there were dead people, in that pool, right? Ah, I can't have any swimming lesson!",,,,,
SAY.Standard.4100.孙燕,,"진정해, 밤에만 일어난다고 하니까.",Relax! It just happens at night.,,,,,
SAY.Standard.4108.王芳,,…오늘밤 나 데려다줄 거지? 혼자선 못 가!,...you will escort me home right? I can't go by myself!,,,,,
SAY.Standard.4109.孙燕,,"알았어, 알았어…","Alright, princess!",,,,,
SAY.Standard.6684.,,-끝-,-The End-,,,,,
SAY.Standard.6685.,,,,,,,,
SAY.Standard.1480.孙燕,,"처음에는 아무것도 없다 멀리서 무언가 보이기 시작했는데, ","It was nothing at the beginning,  but later, he saw something,",最初はいや、后に彼の他の隅に何かが、,,,,
SAY.Standard.1539.孙燕,,둥그런 게 물을 튀기며 빠르게 다가왔대.,"Something indescribable, rounded, moving at a very high speed, with huge splashes around it.",彼がはねあがっ横たわっている高速に近づいている。,,,,
SAY.Standard.1538.孙燕,,남자애는 어떻게 반응해야 할지 몰라 가만히 서서 지켜보기만 했고.,"He stayed frozen, didn't know how to react to this weird situation, only thing he can do is stare at it.",彼は一時的に反応しなかったて、そのままぼんやりと水に浮いて。,,,,
SAY.Standard.1537.孙燕,,그것이 점점 다가오자 마침내 볼 수 있었대.,"That thing was getting closer and closer, and finally, he can see it clearly.",,,,,
SAY.Standard.1536.孙燕,,상상을 완전히 벗어난 것을.,That's something totally out of his imagination.,彼は、それはほとんど想像できないものがある。,,,,
SAY.Standard.1535.孙燕,,"두 몸체가 극단적인 각도로 뒤틀리고 변형되어 한 덩이를 이루고 있었는데, ","Two bodies rolled and twisted in a strange way, twisted and deformed.",両極端な角度であまっねじる一緒の人体は、彼らの体も変形、歪んだ,,,,
SAY.Standard.1534.孙燕,,둘 중 하나는 거의 뼈만 있었대.,"one of them was almost only bones, ",,,,,
SAY.Standard.1533.孙燕,,인간이 아니라 유령이었던 거지.,they must be ghosts.,ので彼は人じゃないと、鬼になるはずだ。,,,,
SAY.Standard.3528.孙燕,,"처음에는 아무것도 없다 멀리서 무언가 보이기 시작했는데, ","It was nothing at the beginning,  but later, he saw something,",最初はいや、后に彼の他の隅に何かが、,,,,
SAY.Standard.4067.孙燕,,둥그런 게 물을 튀기며 빠르게 다가왔대.,"Something indescribable, rounded, moving at a very high speed, with huge splashes around it.",,,,,
SAY.Standard.4068.孙燕,,남자애는 어떻게 반응해야 할지 몰라 가만히 서서 지켜보기만 했고.,"He stayed frozen, didn't know how to react to this weird situation, only thing he can do is stare at it.",,,,,
SAY.Standard.4069.孙燕,,그것이 점점 다가오자 마침내 볼 수 있었대.,"That thing was getting closer and closer, and finally, he can see clearly.",,,,,
SAY.Standard.4070.孙燕,,상상을 완전히 벗어난 것을.,That was the weirdest thing he ever saw.,,,,,
SAY.Standard.4071.孙燕,,"극단적인 각도로 뒤틀려서 사람처럼 보이지도 않는 무언가가, ","It looked barely like a man, twisted in an impossible way,",,,,,
SAY.Standard.4072.孙燕,,물을 마음껏 배회하며 뱀처럼 수영하고 있었대.,rotating in the water and swam like a lizard,,,,,
SAY.Standard.4074.孙燕,,"때로 사람 모습이 되기도 하고, ",sometimes it went back into the shape of a girl,,,,,
SAY.Standard.4075.孙燕,,때로는 3~4미터가 되고 공처럼 둥그래지기도 했대…,"sometimes it stretched to 3, 4 meters, then curled back into a ball",,,,,
SAY.Standard.4076.孙燕,,인간이 아니라 유령이었던 거지.,it must be a ghost!,,,,,
SAY.Standard.1478.王芳,,그 남자는 괜찮았대? 다치거나 하지 않았고?,Oh my god! Is that guy okay? Is he still alive? Is he injured or something?,怖いのなら、あの人は大丈夫?彼が攻撃されていないとか?,,,,
SAY.Standard.1522.孙燕,,"응, 그냥 겁에 질린 것뿐.",Not really. Just scared.,倒れない辟易されていたが、,,,,
SAY.Standard.1540.孙燕,,밤은 물론 몇 달 동안 물에 들어가지도 않았대.,"For months he dared not to get close to the water, and I bet he would never go there in the evening.",数ヵ月もない下水より、夜は水泳に行くこともできた。,,,,
SAY.Standard.1521.孙燕,,얘 좀 봐!,Ha! Look at you!,ほらあなたあの时出世!,,,,
SAY.Standard.1546.孙燕,,벌써 무서워?,Scared already?,これに辟易しとか?,,,,
SAY.Standard.1519.王芳,,같이 가기야! 내가 무서워하는 거 알면서 그러는 거잖아!,Screw you! You knew what I'm afraid of and you still told me that story!,行く!行く!私を恐れて何か知っている、本当にの!,,,,
SAY.Standard.1548.王芳,,흠… 수영장에서 죽은 사람은 누구였대?,HMM...  Who were those drowned people?,うん……それらの事故には何人ですか?,,,,
SAY.Standard.1549.孙燕,,대부분 학생이지만 선생님도 있고 외부인도 있었대.,"Well,  students mostly. Also teachers and people outside the school. ",先生があるらしい、多くの学生は、外に游びに来た。,,,,
SAY.Standard.1550.王芳,,마지막으로 죽은 사람은?,Do you know the latest victim? Was he a student or someone from outside?,あなたは最後の犠牲を知った学生の外に游びに来たのか、それとも,,,,
SAY.Standard.1551.孙燕,,음… 듣기로는 수영 선수 학생이었대.,"Well...from what I heard, she's from our school, they said she was a capable swimmer. ",うん…特生は女性らしい、水泳の体のか、,,,,
SAY.Standard.1552.孙燕,,수년 전이니 확실하진 않아.,It's been years. I'm not sure.,傷が年だし、私も不透明だ。,,,,
SAY.Standard.1553.王芳,,수영 선수도 익사를 한다니!,Even a good swimmer was drowned!,やっぱり溺死は水泳になるのよ!,,,,
SAY.Standard.1554.孙燕,,"전에는 매년 몇 명씩 죽었지만, 요 몇 년은 사고가 없었대.",There used to be a few deaths each year? but now it's been pretty quiet for years.,以前は毎年死ぬか、今は何も渡したことがなかったらしい。,,,,
SAY.Standard.1555.王芳,,그 선수의 혼이 여기의 저주를 푼 걸까?,Do you think maybe the death of that last girl broke the curse in some way?,あなたはここを保護し、その女の英霊と常識を破るた?,,,,
SAY.Standard.1556.孙燕,,"응, 아마도.","Well... could be, who knows.",うん、うん、かもう,,,,
SAY.Standard.6691.,,-끝-,-The End-,,,,,
SAY.Standard.6693.,,,,,,,,
SAY.Standard.3482.,,몇 년 후…,Years later...,2年以降…,,,,
SAY.Standard.1611.王芳,,이해가 안 돼.,"Well, I don't understand,",おや、あなたは言った。,,,,
SAY.Standard.1612.王芳,,왜 9시 이후에는 수영장을 못 쓰지?,Why can't we use the swimming pool after 9 PM?,水泳プールは夜9時以降のないのはなぜですか。,,,,
SAY.Standard.1613.孙燕,,어머! 너 몰랐니?,Oh! You didn't know ?,おやおや!あなたは知らないよ、,,,,
SAY.Standard.1633.孙燕,,우리 학교 수영장은 저주받았어.,The swimming pool in our school is cursed.,わたし学校のプールと呼ばれる夜魔館のだろう!,,,,
SAY.Standard.1615.王芳,,무슨 뜻이야?,What does that mean?,それはどういう意味ですか?,,,,
SAY.Standard.1617.孙燕,,9시가 지나면 이상한 일이 일어난대.,"After 9 pm, things go wrong. ",夜は何か、,,,,
SAY.Standard.1636.孙燕,,분명히 문은 잠가 두잖아.,"And you know what,  the door is locked up for sure. ",そもそもも怪くせにも鍵がかかって、,,,,
SAY.Standard.1635.孙燕,,근데 누가 어떻게든 들어가서 익사한대.,"But someone always manages to get inside and drowned,",老ということは知らないように死んで、,,,,
SAY.Standard.1634.孙燕,,매년 말이야!,Every year!,毎年!,,,,
SAY.Standard.1637.王芳,,세상에! 우리 수영 시간에 거기서 수영하잖아. 선생님은 아무 말도 안 했어…,Good Lord! We are still swimming in that pool on swimming lessons. The teacher didn't say anything.,まさか。我々の水泳の授业はあの池の中を泳いでね!先生は…,,,,
SAY.Standard.1638.孙燕,,"맞아, 선생님은 사람을 죽인 수영장에서 맘껏 놀라고 말할걸!","Yeah, like the teacher would say, go and have fun, in the pool drains people's lives!",先生がこの池と死を振り切れ、君たち泳ぎましょう!?,,,,
SAY.Standard.1685.孙燕,,아무 일도 없었던 척할 수밖에 없어.,The only way is to pretend nothing happened.,きっと大丈夫よ、とはデマよ!,,,,
SAY.Standard.1639.王芳,,익사한 애는 수영을 못 한 거 아냐? 수업 때 수영 좀 연습해야겠어.,"Those who drowned can't swim,  can they? I'd better practice more in the class. ",その溺死は泳げないの!以後、しっかり授业しました。,,,,
SAY.Standard.1640.孙燕,,"그렇지도 않은 게, 몇 년 전에는 수영 대회 우승자도 거기서 익사했대!","Not really, as far as I know, a few years ago, a swimming champion was drowned there! ",も、必ずしもと聞いて、数年前、ある特生還で水泳の体に入ってそこで死んだろう!,,,,
SAY.Standard.1641.王芳,,수영장에서 사람이 죽었다니… 난 다시는 수영 시간 들어가기 싫어!,I knew it! Those who drowns are all swimmers. Jeez! How can I ever go to swimming lessons in the future?,やっぱり、溺死は泳げるの……终わった!私もう行きたくないで水泳の授业だった!どうする?,,,,
SAY.Standard.1642.孙燕,,"진정해, 밤에만 일어난다고 하니까.",Relax! It just happens at night.,,,,,
SAY.Standard.4093.王芳,,…오늘밤 나 데려다줄 거지? 혼자선 못 가!,".....  You must escort me home today, I'm scared to death! ",…………あなたは今日は付き合ってくれて帰る、私自分の帰ったことも!,,,,
SAY.Standard.1644.孙燕,,"알았어, 알았어…",All right? all right...,いいでしょう……,,,,
SAY.Standard.6687.,,-끝-,-The End-,,,,,
SAY.Standard.6689.,,,,,,,,
SETTEXT.Standard.4553,祝贺您达成,축하합니다! \n 다음 도전 과제를 달성했습니다.,Congratulations! \n You reach the achievement of,,,,,
SETTEXT.Standard.4461,永远的胜者，泳池之神,수영장의 여신(좋은 엔딩),Goddess of the Pool,,,,,
MENU.Standard.4467,,계속하려면 클릭하세요.,Tap on the screen to continue,,,,,
SETTEXT.Standard.4554,祝贺您达成,축하합니다! \n 다음 도전 과제를 달성했습니다.,Congratulations!  \n You reach the achievement of,,,,,
SETTEXT.Standard.4524,世事无常，匆匆过客,그냥 지나던 중(중간 엔딩),Just Passing By,,,,,
MENU.Standard.4532,,계속하려면 클릭하세요.,Tap on the screen to continue,,,,,
SETTEXT.Standard.4555,祝贺您达成,축하합니다! \n 다음 도전 과제를 달성했습니다.,Congratulations!  \n You reach the achievement of,,,,,
SETTEXT.Standard.4538,往事如烟，黯然离场,슬픔 속의 떠남(슬픈 엔딩),Retreat in Sadness,,,,,
MENU.Standard.4546,,계속하려면 클릭하세요.,Tap on the screen to continue,,,,,
SAY.Standard.4598.王亚茹,,아!!!,Ah!!!,,,,,
SAY.Standard.3546.,,2일째,Day 2,翌日,,,,
SAY.Standard.4207.,,,,,,,,
SAY.Standard.1880.王亚茹,,"（아, 어젯밤 잠을 제대로 못 잤어.）",(Ugh? didn't sleep well last night..),（ああ、昨夜よく眠れなかった/ t {},,,,
SAY.Standard.4406.王亚茹,,（망할 악몽.）,( That god damn nightmare?),,,,,
SAY.Standard.1925.王亚茹,,（종일 몸이 좋지 않네.）,(I haven't been feeling myself for the whole day.. ),（ずっとhunhuneeの、授业は何も闻かなかった……）,,,,
SAY.Standard.4405.王亚茹,,（오늘 수업도 전혀 귀에 안 들어오고… ）,( And didn't hear in a single word on today's lessons),,,,,
SAY.Standard.1924.王亚茹,,（시험 성적은 어쩌지…）,(Damn! I'm worried for my test scores...  ),（もともと成績が振るわず、こう……）,,,,
SAY.Standard.1923.王亚茹,,（아오… ）,({vpunch=30}  Alas...... ),（ {vpunch=30}ああ……）,,,,
SAY.Standard.1886.王亚茹,,（아직도 떠드는 중인가?）,(Are they still talking?),（彼女らは话?）,,,,
SAY.Standard.1895.李琴,,이번 중간고사는 전교생 석차를 공개한대.,"You know, for this mid-term exam, they gonna rank all the students from all grades!",というて今回の中間試験=全年生大ランキング!,,,,
SAY.Standard.1896.肖月,,"설마, 천 명도 넘는데… 내 성적은 어디쯤 있을지 두렵다.",No way... we have more than a thousand students...  I can't image where my score will be...,まさか、せん人余りが…それに私の成績を…ああ、耻ずかしい。,,,,
SAY.Standard.1897.李琴,,전에는 전교 50등만 공개했잖아. 망했어.,It was only showing the top 50 before. We are so doomed!,以前の上位50人、倒れてもいい。,,,,
SAY.Standard.1898.肖月,,학교에서 우리를 압박하려고 이러는 거야.,"Schools do that, so we will be pushed from behind, to work harder on our classes.",学校はわたしの圧力に励むよ、父は私のランキングとお母さんを见なければ気が狂った。,,,,
SAY.Standard.1899.李琴,,아… 부모님이 성적을 알면 용돈도 줄어들 거야…,Alas...  My pocket money will be less when my parents know my scores.,ああ…私のその小遣いも激減しなければ…,,,,
SAY.Standard.1900.肖月,,그렇게 치면 이 교실에 우리 둘보다 성적 걱정이 클 사람이 한 명 있지.,Wanna know something fun? Someone in this room who should be even worried about her scores than us.,圧力といえば、誰かが我々より大きいだろうが、わたしはどうやら考が入ってきた。,,,,
SAY.Standard.1901.李琴,,조용히 해! 쟤 성질 더럽잖아.,SHH! quiet! She has a bad temper.,しーっ!小さい時の音!あの人は性格はどうです。,,,,
SAY.Standard.1905.肖月,,"그래, 저 근육은 무섭지…","Oh I'm so afraid those muscles, haha!",ヘイヘイ、四肢の先進头を简単に……,,,,
SAY.Standard.3547.,,3일째,Day 3,3日目,,,,
SAY.Standard.4208.,,,,,,,,
SAY.Standard.1947.王亚茹,,（이게 뭐람!）,(What the hell! ),（どういうことよ!）,,,,
SAY.Standard.1948.王亚茹,,（이틀 연속으로 악몽이라니.）,(Two bad dreams in a roll?),（熒屏やった2回の悪夢、）,,,,
SAY.Standard.1949.王亚茹,,（이대로면 미쳐 버릴지도 몰라…）{vpunch=30},( I'll lose my mind If I go on like this.{vpunch=30} ),（このままだったら恐らく私が精神错乱だろう…{vpunch=30}）,,,,
